Bahrain,False,1647604800,1647615600,1647691200,1647702000,1647788400
Saudi Arabia,False,1648216800,1648227600,1648303200,1648314000,1648400400
Australia,False,1649386800,1649397600,1649473200,1649484000,1649566800
Emilia Romagna,True,1650627000,1650639600,1650709800,1650724200,1650805200
Miami,False,1651861800,1651872600,1651942800,1651953600,1652038200
Spain,False,1653048000,1653058800,1653130800,1653141600,1653224400
Monaco,False,1653652800,1653663600,1653735600,1653746400,1653829200
Azerbaijan,False,1654858800,1654869600,1654945200,1654956000,1655031600
Canada,False,1655488800,1655499600,1655571600,1655582400,1655661600
Great Britain,False,1656676800,1656687600,1656759600,1656770400,1656856800
Austria,True,1657279800,1657292400,1657362600,1657377000,1657458000
France,False,1658491200,1658502000,1658574000,1658584800,1658667600
Hungary,False,1659096000,1659106800,1659178800,1659189600,1659272400
Belgium,False,1661515200,1661526000,1661598000,1661608800,1661691600
Netherlands,False,1662120000,1662130800,1662202800,1662213600,1662296400
Italy,False,1662724800,1662735600,1662807600,1662818400,1662901200
Russia,False,1663927200,1663938000,1664013600,1664024400,1664103600
Singapore,False,1664532000,1664542800,1664618400,1664629200,1664712000
Japan,False,1665115200,1665126000,1665201600,1665212400,1665291600
United States,False,1666378800,1666389600,1666465200,1666476000,1666551600
Mexico,False,1666980000,1666990800,1667062800,1667073600,1667156400
Brazil,True,1668180600,1668193200,1668267000,1668281400,1668362400
Abu Dhabi,False,1668765600,1668776400,1668855600,1668866400,1668949200
